SequenceName	ClusterNumber
ISL_419535	1
ISL_433196	1
ISL_414499	1
ISL_425374	1
ISL_416757	1
ISL_437297	1
ISL_418413	1
ISL_416747	1
ISL_426062	1
ISL_420047	1
ISL_436367	1
ISL_437270	1
ISL_436315	1
ISL_430050	1
ISL_414510	2
ISL_417419	2
ISL_437244	2
ISL_437237	2
ISL_417244	2
ISL_437206	2
ISL_437214	2
ISL_437288	2
ISL_447817	2
ISL_432990	2
ISL_425475	2
ISL_433434	2
ISL_430109	3
ISL_434635	3
ISL_430106	3
ISL_436731	3
ISL_430110	3
ISL_430107	3
ISL_430112	3
ISL_421513	3
ISL_424194	3
ISL_429968	3
ISL_412116	3
ISL_447812	4
ISL_447805	4
ISL_447808	4
ISL_447816	4
ISL_447809	4
ISL_447810	4
ISL_447806	4
ISL_447807	4
ISL_431782	5
ISL_419304	5
ISL_406862	5
ISL_419296	5
ISL_420125	5
ISL_447813	5
ISL_417508	5
ISL_425672	5
ISL_437601	5
ISL_438956	5
ISL_402127	6
ISL_406596	6
ISL_417491	6
ISL_428313	6
ISL_410546	6
ISL_412982	6
ISL_418248	6
ISL_436341	6
ISL_436355	6
ISL_418251	7
ISL_421514	7
ISL_402128	7
ISL_417978	7
ISL_419307	7
ISL_431783	7
ISL_438971	7
ISL_426028	7
ISL_428691	7
ISL_407071	7
ISL_436727	8
ISL_436729	8
ISL_408666	8
ISL_410545	8
ISL_428366	8
ISL_436730	8
ISL_416574	8
ISL_436715	8
ISL_436716	8
ISL_436717	8
ISL_402124	9
ISL_436732	9
ISL_417420	9
ISL_444969	9
ISL_410532	9
ISL_404895	9
ISL_410044	9
ISL_411956	9
ISL_416624	9
ISL_419554	9
ISL_430111	10
ISL_418256	10
ISL_402125	10
ISL_430108	10
ISL_420988	10
ISL_418860	10
