SequenceName	ClusterNumber
ISL_419307	1
ISL_425672	1
ISL_417244	1
ISL_419304	1
ISL_437244	1
ISL_430111	1
ISL_430110	1
ISL_437206	1
ISL_437601	1
ISL_437297	1
ISL_436729	1
ISL_430107	1
ISL_438971	1
ISL_438956	1
ISL_430112	1
ISL_436716	1
ISL_436717	1
ISL_436715	1
ISL_434635	2
ISL_436731	2
ISL_436727	2
ISL_416747	2
ISL_418256	2
ISL_444969	2
ISL_416757	2
ISL_430106	2
ISL_430109	2
ISL_418248	3
ISL_428691	3
ISL_436341	3
ISL_436355	3
ISL_406596	4
ISL_431783	4
ISL_410545	4
ISL_416574	4
ISL_416624	4
ISL_410546	4
ISL_432990	4
ISL_412116	4
ISL_425475	4
ISL_428313	5
ISL_433434	5
ISL_402127	5
ISL_402128	5
ISL_420988	5
ISL_414499	5
ISL_410532	5
ISL_410044	5
ISL_402124	5
ISL_402125	5
ISL_414510	5
ISL_419554	5
ISL_417420	6
ISL_412982	6
ISL_407071	6
ISL_404895	6
ISL_408666	6
ISL_411956	6
ISL_436732	7
ISL_417978	7
ISL_420047	7
ISL_425374	7
ISL_417491	7
ISL_421514	7
ISL_418251	7
ISL_417419	7
ISL_420125	7
ISL_436367	7
ISL_447816	7
ISL_433196	7
ISL_436315	7
ISL_418860	7
ISL_430108	7
ISL_421513	8
ISL_418413	8
ISL_417508	8
ISL_419296	8
ISL_447817	8
ISL_447812	8
ISL_447813	8
ISL_447805	8
ISL_447808	8
ISL_447806	8
ISL_447807	8
ISL_447810	9
ISL_447809	9
ISL_437270	9
ISL_436730	9
ISL_406862	9
ISL_437288	10
ISL_429968	10
ISL_437214	10
ISL_424194	10
ISL_428366	10
ISL_431782	10
ISL_419535	10
ISL_430050	10
ISL_437237	10
ISL_426062	10
ISL_426028	10
