SequenceName	ClusterNumber
ISL_431783	1
ISL_416574	1
ISL_416624	1
ISL_418248	2
ISL_428691	2
ISL_436341	2
ISL_436355	2
ISL_436727	3
ISL_436731	3
ISL_430110	3
ISL_430109	3
ISL_430107	3
ISL_430112	3
ISL_417244	3
ISL_437206	3
ISL_418256	3
ISL_430106	3
ISL_437244	3
ISL_425672	3
ISL_430111	3
ISL_419304	3
ISL_437297	3
ISL_419307	3
ISL_436729	3
ISL_436716	3
ISL_437601	3
ISL_436715	3
ISL_436717	3
ISL_438956	3
ISL_438971	3
ISL_437288	4
ISL_437237	4
ISL_437214	4
ISL_424194	4
ISL_431782	4
ISL_419535	4
ISL_426028	4
ISL_428366	4
ISL_429968	4
ISL_426062	4
ISL_430050	4
ISL_436730	5
ISL_437270	5
ISL_420047	6
ISL_436367	6
ISL_417491	6
ISL_425374	6
ISL_436315	6
ISL_433196	6
ISL_447816	6
ISL_418251	6
ISL_417419	6
ISL_420125	6
ISL_417978	6
ISL_436732	6
ISL_418860	6
ISL_421514	6
ISL_430108	6
ISL_434635	6
ISL_416747	6
ISL_416757	6
ISL_444969	6
ISL_406862	7
ISL_418413	7
ISL_421513	7
ISL_447809	7
ISL_447810	7
ISL_417508	7
ISL_419296	7
ISL_447805	7
ISL_447812	7
ISL_447808	7
ISL_447813	7
ISL_447817	7
ISL_447806	7
ISL_447807	7
ISL_417420	-1
ISL_402128	8
ISL_402127	8
ISL_414510	8
ISL_402125	8
ISL_414499	8
ISL_420988	8
ISL_428313	8
ISL_433434	8
ISL_412982	8
ISL_407071	8
ISL_404895	8
ISL_408666	8
ISL_411956	8
ISL_410545	9
ISL_410532	9
ISL_406596	9
ISL_432990	9
ISL_402124	9
ISL_412116	9
ISL_419554	9
ISL_425475	9
ISL_410044	9
ISL_410546	9
